lam,seed,L,h,norm,mse,mae,epochs,r2_level,sigma_est2,th_level_term,wall_s
0.1,1,96,336,cn_oracle,0.180168,0.338066,7,0.1329,nan,0.0,0.13
0.1,1,96,336,cn_est,0.233777,0.384756,8,0.1329,0.263486,0.241062,0.16
0.1,1,336,24,raw,0.518887,0.571561,7,0.1329,nan,0.576049,0.13
0.1,1,336,24,revin,0.515694,0.569969,7,0.1329,nan,0.382458,0.31
0.1,1,336,24,cn_oracle,0.178204,0.336064,5,0.1329,nan,0.0,0.09
0.1,1,336,24,cn_est,0.207253,0.362528,10,0.1329,0.270764,0.260277,0.22
0.1,1,336,96,raw,0.57518,0.604155,8,0.1329,nan,0.56779,0.16
0.1,1,336,96,revin,0.588551,0.611704,6,0.1329,nan,0.396273,0.18
0.1,1,336,96,cn_oracle,0.18218,0.339978,6,0.1329,nan,0.0,0.11
0.1,1,336,96,cn_est,0.215977,0.370436,11,0.1329,0.270764,0.256058,0.18
0.1,1,336,336,raw,0.607955,0.621603,7,0.1329,nan,0.554228,0.17
0.1,1,336,336,revin,0.622096,0.628076,6,0.1329,nan,0.428528,0.17
0.1,1,336,336,cn_oracle,0.18123,0.339624,5,0.1329,nan,0.0,0.13
0.1,1,336,336,cn_est,0.231597,0.383379,14,0.1329,0.270764,0.241062,0.22
0.1,2,96,24,raw,0.536343,0.580834,6,0.1529,nan,0.727618,0.1
